id,season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
268,2016,NBA,Utah Jazz,UTA,FALSE,82,19955,39.1,87.1,0.449,9.2,25.9,0.355,29.9,61.3,0.488,18.5,24.9,0.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9
269,2016,NBA,Washington Wizards,WAS,FALSE,82,19755,40,86.8,0.46,8.7,24.5,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4,14.6,21.1,105.3
270,2015,NBA,Atlanta Hawks,ATL,TRUE,82,19730,40.4,86.7,0.466,10.6,27.9,0.38,29.8,58.9,0.506,17.5,22.5,0.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,108.9
271,2015,NBA,Boston Celtics,BOS,TRUE,82,19880,40.2,90.8,0.443,8.3,25.5,0.327,31.9,65.4,0.488,15.9,21.1,0.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,104.7
272,2015,NBA,Brooklyn Nets,BRK,TRUE,82,19930,39.9,88.4,0.451,7,21.2,0.331,32.8,67.2,0.489,17.6,23.6,0.748,11,34.1,45.1,22.3,7.5,4.4,14.7,20.5,104.4
273,2015,NBA,Chicago Bulls,CHI,TRUE,82,19880,39,88.4,0.442,8.4,23.7,0.353,30.7,64.7,0.474,21.1,26.9,0.783,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,107.5
274,2015,NBA,Charlotte Hornets,CHO,FALSE,82,19905,37.8,89.9,0.42,6.5,20.3,0.318,31.3,69.6,0.45,18.1,24.2,0.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,100.1
275,2015,NBA,Cleveland Cavaliers,CLE,TRUE,82,19780,40.6,88.6,0.458,10.9,29.6,0.367,29.7,58.9,0.504,19.1,25.4,0.751,12,34.3,46.3,23.8,7.9,4.5,15.4,19.8,111.1
276,2015,NBA,Dallas Mavericks,DAL,TRUE,82,19880,41.3,89.3,0.463,9.3,26.4,0.352,32,62.8,0.509,17.6,23.4,0.752,10.9,33.1,44,23.4,8.4,4.7,13.5,20.9,109.5
277,2015,NBA,Denver Nuggets,DEN,FALSE,82,19880,38.9,89.9,0.433,8.3,25.5,0.325,30.6,64.4,0.476,18.4,25,0.734,12.7,33.3,46,22.5,8.1,4.6,14.6,23.6,104.5
278,2015,NBA,Detroit Pistons,DET,FALSE,82,19830,39.7,91.8,0.432,9.2,26.6,0.344,30.5,65.1,0.468,16.8,24,0.703,13.7,34.3,48,23.1,8.1,5,14.3,20.3,105.3
279,2015,NBA,Golden State Warriors,GSW,TRUE,82,19730,42.2,88.3,0.478,10.9,27.4,0.398,31.3,60.9,0.514,16.3,21.2,0.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,111.6
