id,seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
1599,31333,2024,5138,Duop Reath,NA,C,27,1,NBA,POR,68,20,1214,9.4,20.3,0.461,3.6,10,0.359,5.8,10.3,0.559,2.8,3.8,0.742,3.8,6.4,10.2,2.7,1.3,1.5,2.1,6.5,25.1,116,117
1600,31334,2024,4239,Dwight Powell,NA,C,32,10,NBA,DAL,63,9,836,4.1,6.1,0.679,0.1,0.2,0.333,4.1,5.9,0.689,3.6,5.1,0.708,5.6,6.7,12.3,4.8,1.5,1.1,1.8,6.5,11.9,147,115
1601,31335,2024,4829,Dylan Windler,NA,SF,27,4,NBA,TOT,17,0,108,6.7,13.3,0.5,5.8,12,0.481,0.9,1.3,0.667,0,0,NA,1.3,5.8,7.1,4.4,0.9,0,0.9,2.7,19.1,143,121
1602,31336,2024,4829,Dylan Windler,NA,SF,27,4,NBA,NYK,3,0,7,7.2,14.4,0.5,7.2,14.4,0.5,0,0,NA,0,0,NA,0,7.2,7.2,7.2,0,0,0,7.2,21.6,168,118
1603,31337,2024,4829,Dylan Windler,NA,SF,27,4,NBA,LAL,8,0,28,6.8,15.3,0.444,6.8,13.6,0.5,0,1.7,0,0,0,NA,0,5.1,5.1,10.2,0,0,0,3.4,20.4,151,121
1604,31338,2024,4829,Dylan Windler,NA,SF,27,4,NBA,ATL,6,0,73,6.6,12.5,0.526,5.3,11.2,0.471,1.3,1.3,1,0,0,NA,2,5.9,7.9,2,1.3,0,1.3,2,18.4,137,121
1605,31339,2024,5046,Dyson Daniels,NA,PG,20,2,NBA,NOP,61,16,1358,5,11.2,0.447,1.5,4.9,0.311,3.5,6.4,0.551,1.2,1.9,0.642,2.2,6.3,8.5,5.9,3.1,0.9,2.1,3.6,12.8,113,110
1606,31340,2024,4392,Dāvis Bertāns,NA,PF,31,8,NBA,TOT,43,1,674,6.7,17.1,0.393,5.5,14.6,0.38,1.2,2.5,0.471,2.2,2.4,0.909,0.7,3.8,4.5,2.6,1.9,0.9,1.3,4.1,21.2,114,120
1607,31341,2024,4392,Dāvis Bertāns,NA,PF,31,8,NBA,OKC,15,0,91,5.3,13.7,0.385,5.3,12.7,0.417,0,1.1,0,7.4,7.9,0.933,1.1,4.2,5.3,4.8,1.6,1.6,0.5,5.3,23.2,146,114
1608,31342,2024,4392,Dāvis Bertāns,NA,PF,31,8,NBA,CHO,28,1,583,6.9,17.6,0.394,5.6,14.9,0.375,1.4,2.7,0.5,1.4,1.5,0.889,0.6,3.7,4.3,2.2,1.9,0.8,1.4,3.9,20.8,109,120
1609,31343,2024,5139,E.J. Liddell,NA,PF,23,1,NBA,NOP,8,0,23,2.1,12.8,0.167,0,10.7,0,2.1,2.1,1,4.3,4.3,1,0,10.7,10.7,2.1,4.3,4.3,4.3,4.3,8.5,56,101
1610,31344,2024,5140,Emoni Bates,NA,SF,20,1,NBA,CLE,15,0,133,5.6,18.2,0.306,3.7,12.3,0.303,1.9,5.9,0.313,0.4,1.5,0.25,0.4,4.8,5.2,3.7,0.4,0.7,3,1.9,15.2,80,117
1611,31345,2024,3815,Eric Gordon,NA,SG,35,16,NBA,PHO,68,24,1893,7.1,15.9,0.443,3.9,10.2,0.378,3.2,5.7,0.561,1.3,1.7,0.797,0.4,2.7,3.1,3.6,1.7,0.8,1.9,2,19.3,112,117
1612,31346,2024,4930,Eugene Omoruyi,NA,SF,26,3,NBA,WAS,43,0,393,9.6,19.9,0.485,1.5,5.5,0.283,8.1,14.4,0.562,3.8,5.8,0.653,4.2,5.9,10.1,4.2,3.2,0.6,2.5,7.4,24.6,111,116
1613,31347,2024,4086,Evan Fournier,NA,SG,31,12,NBA,TOT,32,0,580,6.6,18.4,0.357,2.7,10.8,0.254,3.8,7.6,0.505,2.4,3,0.806,0.4,4.4,4.8,4,2.4,0.6,1.7,4,18.3,98,118
1614,31348,2024,4086,Evan Fournier,NA,SG,31,12,NBA,NYK,3,0,39,5.2,25.9,0.2,2.6,19.4,0.133,2.6,6.5,0.4,2.6,2.6,1,0,5.2,5.2,3.9,5.2,0,1.3,5.2,15.5,72,107
1615,31349,2024,4086,Evan Fournier,NA,SG,31,12,NBA,DET,29,0,541,6.7,17.9,0.373,2.8,10.2,0.27,3.9,7.6,0.512,2.4,3,0.794,0.4,4.4,4.8,4,2.2,0.6,1.8,3.9,18.5,100,118
1616,31350,2024,4931,Evan Mobley,NA,PF,22,3,NBA,CLE,50,50,1532,10.3,17.8,0.58,0.7,1.9,0.373,9.6,15.9,0.604,4,5.5,0.719,3.6,11.5,15.1,5.2,1.5,2.3,2.9,4.3,25.3,122,109
1617,31351,2024,5141,Filip Petrušev,NA,C,23,1,NBA,TOT,3,0,10,4.9,9.8,0.5,0,0,NA,4.9,9.8,0.5,4.9,9.8,0.5,0,4.9,4.9,0,0,0,0,4.9,14.6,108,120
1618,31352,2024,5141,Filip Petrušev,NA,C,23,1,NBA,PHI,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,16.4,16.4,0,0,0,0,0,0,NA,113
1619,31353,2024,5141,Filip Petrušev,NA,C,23,1,NBA,SAC,2,0,7,6.9,13.9,0.5,0,0,NA,6.9,13.9,0.5,6.9,13.9,0.5,0,0,0,0,0,0,0,6.9,20.8,108,123
1620,31354,2024,4500,Frank Ntilikina,NA,PG,25,7,NBA,CHO,5,0,43,1.1,10.3,0.111,1.1,9.2,0.125,0,1.1,0,2.3,2.3,1,1.1,5.7,6.9,4.6,0,0,1.1,4.6,5.7,75,125
1621,31355,2024,4933,Franz Wagner,NA,SF,22,3,NBA,ORL,72,72,2337,11.2,23.2,0.482,2,7.1,0.281,9.2,16.1,0.57,5.7,6.8,0.85,1.5,6.5,8.1,5.7,1.6,0.6,2.9,3.6,30.1,116,112
1622,31356,2024,4403,Fred VanVleet,NA,PG,29,8,NBA,HOU,73,73,2684,7.6,18.4,0.416,4.1,10.6,0.387,3.5,7.8,0.454,3.6,4.1,0.86,0.6,4.4,5,10.6,1.8,1.1,2.3,3.3,22.9,123,114
1623,31357,2024,4501,Furkan Korkmaz,NA,SG,26,7,NBA,PHI,35,0,300,4.9,12.5,0.395,2.3,6.6,0.35,2.6,5.9,0.444,2.3,3.3,0.7,0.7,4.3,4.9,4.1,2.3,0.5,1.6,2.8,14.4,108,115
1624,31358,2024,5142,GG Jackson II,NA,PF,19,1,NBA,MEM,48,18,1233,9.6,22.3,0.428,4,11.3,0.357,5.5,11,0.502,4.6,6.1,0.752,2.1,5.7,7.8,2.3,1.1,1,2.6,2.5,27.7,107,117
1625,31359,2024,4717,Gabe Vincent,NA,PG,27,5,NBA,LAL,11,0,218,3.3,10.7,0.306,0.7,6.1,0.107,2.6,4.6,0.571,0.2,0.4,0.5,0.9,1.1,2,4.6,2,0,1.1,4.1,7.4,86,119
1626,31360,2024,3877,Garrett Temple,NA,SG,37,14,NBA,TOR,27,2,289,4.8,13,0.372,2,6.7,0.3,2.8,6.3,0.447,3,3.7,0.818,3,4.5,7.5,4.7,2,0.5,2.3,4.7,14.7,107,120
1627,31361,2024,4718,Garrison Mathews,NA,SG,27,5,NBA,ATL,66,5,992,5,10.9,0.456,4.1,9.3,0.44,0.9,1.6,0.545,1.6,2,0.81,0.8,3.6,4.4,1.8,1,0.4,0.9,5.6,15.7,131,123
1628,31362,2024,4245,Gary Harris,NA,SG,29,10,NBA,ORL,54,27,1297,5,11.3,0.441,2.9,7.8,0.371,2.1,3.5,0.598,1.3,1.7,0.756,0.9,2.6,3.5,3.3,1.9,0.5,1.2,3.5,14.2,120,114
1629,31363,2024,4404,Gary Payton II,NA,SG,31,8,NBA,GSW,44,0,680,7.3,13,0.563,1.4,3.9,0.364,5.9,9.1,0.648,1,1.6,0.609,3.3,4.8,8,3.4,2.8,1.3,1.9,5.5,17.1,123,113
1630,31364,2024,4618,Gary Trent Jr.,NA,SG,25,6,NBA,TOR,71,41,1994,8.7,20.5,0.426,4.3,11,0.393,4.4,9.5,0.464,1.8,2.3,0.771,0.6,3.9,4.6,2.9,1.9,0.2,1.1,2.3,23.6,110,121
1631,31365,2024,4405,Georges Niang,NA,PF,30,8,NBA,CLE,82,10,1831,7.7,17.1,0.449,4,10.7,0.376,3.6,6.4,0.572,1.4,1.6,0.85,0.6,6.9,7.5,2.6,0.8,0.5,1.9,5.2,20.7,109,115
1632,31366,2024,4164,Giannis Antetokounmpo,NA,PF,29,11,NBA,MIL,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15,23.3,0.645,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126,112
1633,31367,2024,4719,Goga Bitadze,NA,C,24,5,NBA,ORL,62,33,957,6.5,10.8,0.603,0.1,0.7,0.143,6.4,10.1,0.636,2.9,4.5,0.655,5.6,9.2,14.8,4.1,1.7,3.7,2.3,5.5,16.1,128,107
1634,31368,2024,3941,Gordon Hayward,NA,SF,33,14,NBA,TOT,51,28,1245,7.3,15.8,0.464,1.5,3.5,0.411,5.9,12.3,0.479,3.5,4.7,0.742,1.5,5.6,7.1,6.2,1.6,0.5,2.6,2.6,19.6,111,118
1635,31369,2024,3941,Gordon Hayward,NA,SF,33,14,NBA,CHO,25,25,798,8.6,18.4,0.468,1.4,3.8,0.361,7.2,14.6,0.496,3.8,5,0.765,1.5,5.7,7.2,7.2,1.7,0.7,3.2,2.8,22.4,109,120
1636,31370,2024,3941,Gordon Hayward,NA,SF,33,14,NBA,OKC,26,3,447,5.2,11.4,0.453,1.6,3.1,0.517,3.5,8.3,0.429,2.9,4.2,0.692,1.4,5.5,6.9,4.5,1.3,0.1,1.6,2.3,14.8,117,116
1637,31371,2024,5143,Gradey Dick,NA,SG,20,1,NBA,TOR,60,17,1268,7.2,16.9,0.425,3.4,9.2,0.365,3.8,7.8,0.495,1.7,1.9,0.863,1,4,5,2.6,1.3,0.1,1.9,3.3,19.4,105,122
1638,31372,2024,4720,Grant Williams,NA,PF,25,5,NBA,TOT,76,43,2130,6.3,13.8,0.456,2.9,7.7,0.375,3.4,6.1,0.558,2.4,3.2,0.757,2,5.3,7.2,4,1,0.9,2.5,5.2,17.9,113,119
1639,31373,2024,4720,Grant Williams,NA,PF,25,5,NBA,DAL,47,33,1242,5.1,12.2,0.413,3.1,8.1,0.376,2,4.1,0.486,1.6,2.1,0.745,1.8,4.8,6.5,3.1,0.9,1,2,5.3,14.8,110,118
1640,31374,2024,4720,Grant Williams,NA,PF,25,5,NBA,CHO,29,10,888,8.1,16,0.503,2.6,7,0.373,5.4,9,0.605,3.6,4.7,0.765,2.2,6.1,8.3,5.2,1.1,0.7,3.1,4.9,22.3,116,121
1641,31375,2024,4620,Grayson Allen,NA,SG,28,6,NBA,PHO,75,74,2513,6.6,13.3,0.499,4,8.6,0.461,2.6,4.6,0.57,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130,117
1642,31376,2024,4937,Greg Brown III,NA,PF,22,3,NBA,DAL,6,0,40,6,13.2,0.455,1.2,3.6,0.333,4.8,9.6,0.5,4.8,10.8,0.444,3.6,7.2,10.8,4.8,0,4.8,4.8,6,18,96,114
1643,31377,2024,5144,Gui Santos,NA,PF,21,1,NBA,GSW,23,0,192,7.1,13.9,0.509,2.5,6.8,0.37,4.5,7.1,0.643,4,4.3,0.941,4.3,8.1,12.3,3.5,1,0.5,1.8,5.8,20.7,135,116
1644,31378,2024,4621,Hamidou Diallo,NA,SG,25,6,NBA,WAS,2,0,5,9.4,18.7,0.5,0,0,NA,9.4,18.7,0.5,0,0,NA,18.7,0,18.7,9.4,18.7,0,9.4,9.4,18.7,106,86
1645,31379,2024,4089,Harrison Barnes,NA,PF,31,12,NBA,SAC,82,82,2381,7.1,14.9,0.474,3,7.9,0.387,4,7.1,0.571,3.2,4,0.801,1.4,3.7,5.1,2,1.1,0.2,1.2,2,20.4,122,119
1646,31380,2024,4622,Harry Giles,NA,C,25,4,NBA,TOT,23,0,100,11.3,24.6,0.46,1.5,6.9,0.214,9.8,17.7,0.556,3.4,6.4,0.538,5.9,8.8,14.7,2.9,1,1.5,2.9,7.4,27.5,103,115
1647,31381,2024,4622,Harry Giles,NA,C,25,4,NBA,BRK,16,0,81,13.5,26.9,0.5,1.8,6.7,0.273,11.6,20.2,0.576,4.3,7.9,0.538,7.3,8.6,15.9,3.7,0.6,1.8,3.7,9.2,33,109,116
